Iteration:  NumOfCars:  CarsThatDontFit:  FreeSpace:  PercentFreeSpace:
  580  69  17  100.000000  20.000000 
  581  73  17  105.000000  21.000000 
  582  78  20  100.000000  20.000000 
  583  70  36  100.000000  20.000000 
  584  74  22  100.000000  20.000000 
  585  72  26  100.000000  20.000000 
  586  75  22  100.000000  20.000000 
  587  72  20  100.000000  20.000000 
  588  75  11  100.000000  20.000000 
  589  76  20  100.000000  20.000000 
  590  68  22  100.000000  20.000000 
  591  72  19  100.000000  20.000000 
  592  74  20  95.000000  19.000000 
  593  76  24  90.000000  18.000000 
  594  78  22  90.000000  18.000000 
  595  73  38  90.000000  18.000000 
  596  74  32  95.000000  19.000000 
  597  72  22  100.000000  20.000000 
  598  73  23  100.000000  20.000000 
  599  76  17  100.000000  20.000000 
  600  77  23  100.000000  20.000000 
  601  68  21  100.000000  20.000000 
  602  71  16  100.000000  20.000000 
  603  72  11  95.000000  19.000000 
  604  75  24  95.000000  19.000000 
  605  75  16  90.000000  18.000000 
  606  74  36  95.000000  19.000000 
  607  76  23  95.000000  19.000000 
  608  75  26  95.000000  19.000000 
  609  74  25  95.000000  19.000000 
  610  74  22  95.000000  19.000000 
  611  77  22  95.000000  19.000000 
  612  77  33  95.000000  19.000000 
  613  67  24  95.000000  19.000000 
  614  73  27  95.000000  19.000000 
  615  70  17  100.000000  20.000000 
  616  74  23  105.000000  21.000000 
  617  73  16  105.000000  21.000000 
  618  73  31  105.000000  21.000000 
  619  71  21  105.000000  21.000000 
  620  71  26  105.000000  21.000000 
  621  72  17  105.000000  21.000000 
  622  76  17  105.000000  21.000000 
  623  75  30  100.000000  20.000000 
  624  72  24  100.000000  20.000000 
  625  69  23  100.000000  20.000000 
  626  72  15  95.000000  19.000000 
  627  78  17  95.000000  19.000000 
  628  75  36  95.000000  19.000000 
  629  73  30  100.000000  20.000000 
  630  72  21  100.000000  20.000000 
  631  74  8  100.000000  20.000000 
  632  70  32  100.000000  20.000000 
  633  77  15  90.000000  18.000000 
  634  76  23  90.000000  18.000000 
  635  76  16  90.000000  18.000000 
  636  73  23  90.000000  18.000000 
  637  70  25  90.000000  18.000000 
  638  76  28  95.000000  19.000000 
  639  79  17  95.000000  19.000000 
  640  75  30  90.000000  18.000000 
  641  74  23  85.000000  17.000000 
  642  78  26  85.000000  17.000000 
  643  72  20  85.000000  17.000000 
  644  73  17  90.000000  18.000000 
  645  78  27  90.000000  18.000000 
  646  75  19  90.000000  18.000000 
  647  75  23  95.000000  19.000000 
  648  69  24  95.000000  19.000000 
  649  73  14  95.000000  19.000000 
  650  79  16  95.000000  19.000000 
  651  76  27  95.000000  19.000000 
  652  72  18  95.000000  19.000000 
  653  72  17  100.000000  20.000000 
  654  76  25  100.000000  20.000000 
  655  68  18  100.000000  20.000000 
  656  74  14  100.000000  20.000000 
  657  74  16  100.000000  20.000000 
  658  74  24  100.000000  20.000000 
  659  71  17  100.000000  20.000000 
  660  70  22  100.000000  20.000000 
  661  74  26  100.000000  20.000000 
  662  79  14  90.000000  18.000000 
  663  79  19  90.000000  18.000000 
  664  71  30  90.000000  18.000000 
  665  77  16  90.000000  18.000000 
  666  73  26  90.000000  18.000000 
  667  72  27  90.000000  18.000000 
  668  77  24  95.000000  19.000000 
  669  75  24  95.000000  19.000000 
  670  72  28  95.000000  19.000000 
  671  73  20  100.000000  20.000000 
  672  70  22  100.000000  20.000000 
  673  74  15  95.000000  19.000000 
  674  78  23  95.000000  19.000000 
  675  77  27  95.000000  19.000000 
  676  69  27  95.000000  19.000000 
  677  76  23  95.000000  19.000000 
  678  71  33  95.000000  19.000000 
  679  76  14  90.000000  18.000000 
  680  76  17  90.000000  18.000000 
  681  78  26  90.000000  18.000000 
  682  70  26  90.000000  18.000000 
  683  77  24  90.000000  18.000000 
  684  74  35  90.000000  18.000000 
  685  75  28  90.000000  18.000000 
  686  78  15  90.000000  18.000000 
  687  76  30  90.000000  18.000000 
  688  72  28  90.000000  18.000000 
  689  75  15  90.000000  18.000000 
  690  73  24  95.000000  19.000000 
  691  74  19  90.000000  18.000000 
  692  78  22  85.000000  17.000000 
  693  76  23  80.000000  16.000000 
  694  77  15  80.000000  16.000000 
  695  75  25  80.000000  16.000000 
  696  78  25  80.000000  16.000000 
  697  77  16  80.000000  16.000000 
  698  79  27  80.000000  16.000000 
  699  78  22  80.000000  16.000000 
  700  76  25  80.000000  16.000000 
  701  78  25  80.000000  16.000000 
  702  72  26  80.000000  16.000000 
  703  76  17  85.000000  17.000000 
  704  77  15  85.000000  17.000000 
  705  72  29  85.000000  17.000000 
  706  79  19  80.000000  16.000000 
  707  75  18  80.000000  16.000000 
  708  78  19  80.000000  16.000000 
  709  78  14  80.000000  16.000000 
  710  80  29  80.000000  16.000000 
  711  74  31  80.000000  16.000000 
  712  81  22  80.000000  16.000000 
  713  71  34  80.000000  16.000000 
  714  76  17  80.000000  16.000000 
  715  80  12  80.000000  16.000000 
  716  74  20  80.000000  16.000000 
  717  73  23  80.000000  16.000000 
  718  81  21  85.000000  17.000000 
  719  75  30  85.000000  17.000000 
